CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned
0,1,680,Jon,Yang,1966-04-08,M,M,90000.0,2.0,0.0,Bachelors,Professional,1.0,0.0
1,2,692,Eugene,Huang,1965-05-14,S,M,60000.0,3.0,3.0,Bachelors,Professional,0.0,1.0
2,3,493,Ruben,Torres,1965-08-12,M,M,60000.0,3.0,3.0,Bachelors,Professional,1.0,1.0
3,4,519,Christy,Zhu,1968-02-15,S,F,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
4,5,706,Elizabeth,Johnson,1968-08-08,S,F,80000.0,5.0,5.0,Bachelors,Professional,1.0,4.0
5,6,478,Julio,Ruiz,1965-08-05,S,M,70000.0,0.0,0.0,Bachelors,Professional,1.0,1.0
6,7,509,Janet,Alvarez,1965-12-06,S,F,70000.0,0.0,0.0,Bachelors,Professional,1.0,1.0
7,8,568,Marco,Mehta,1964-05-09,M,M,60000.0,3.0,3.0,Bachelors,Professional,1.0,2.0
8,9,425,Rob,Verhoff,1964-07-07,S,F,60000.0,4.0,4.0,Bachelors,Professional,1.0,3.0
9,10,492,Shannon,Carlson,1964-04-01,S,M,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
10,11,478,Jacquelyn,Suarez,1964-02-06,S,F,70000.0,0.0,0.0,Bachelors,Professional,0.0,1.0
11,12,478,Curtis,Lu,1963-11-04,M,M,60000.0,4.0,4.0,Bachelors,Professional,1.0,4.0
12,13,442,Lauren,Walker,1968-01-18,M,F,100000.0,2.0,0.0,Bachelors,Management,1.0,2.0
13,14,500,Ian,Jenkins,1968-08-06,M,M,100000.0,2.0,0.0,Bachelors,Management,1.0,3.0
14,15,677,Sydney,Bennett,1968-05-09,S,F,100000.0,3.0,0.0,Bachelors,Management,0.0,3.0
15,16,443,Chloe,Young,1979-02-27,S,F,30000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
16,17,494,Wyatt,Hill,1979-04-28,M,M,30000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
17,18,699,Shannon,Wang,1944-06-26,S,F,20000.0,4.0,0.0,High School,Skilled Manual,1.0,2.0
18,19,425,Clarence,Rai,1944-10-09,S,M,30000.0,2.0,0.0,Partial College,Clerical,1.0,2.0
19,20,499,Luke,Lal,1978-03-07,S,M,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
20,21,511,Jordan,King,1978-09-20,S,M,40000.0,0.0,0.0,High School,Skilled Manual,0.0,2.0
21,22,580,Destiny,Wilson,1978-09-03,S,F,40000.0,0.0,0.0,Partial College,Skilled Manual,0.0,1.0
22,23,583,Ethan,Zhang,1978-10-12,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
23,24,582,Seth,Edwards,1978-10-11,M,M,40000.0,0.0,0.0,Partial College,Skilled Manual,1.0,1.0
24,25,470,Russell,Xie,1978-09-17,M,M,60000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
25,26,637,Alejandro,Beck,1945-12-23,M,M,10000.0,2.0,1.0,Partial High School,Clerical,1.0,2.0
26,27,634,Harold,Sai,1946-04-03,S,M,30000.0,2.0,0.0,Partial College,Clerical,0.0,2.0
27,28,568,Jessie,Zhao,1946-12-07,M,M,30000.0,2.0,0.0,Partial College,Clerical,1.0,2.0
28,29,554,Jill,Jimenez,1946-04-11,M,F,30000.0,2.0,0.0,Partial College,Clerical,1.0,2.0
29,30,425,Jimmy,Moreno,1946-12-21,M,M,30000.0,2.0,0.0,Partial College,Clerical,1.0,2.0
30,31,613,Bethany,Yuan,1947-02-22,M,F,10000.0,2.0,1.0,Partial High School,Clerical,1.0,2.0
31,32,509,Theresa,Ramos,1947-08-22,M,F,20000.0,4.0,0.0,High School,Skilled Manual,1.0,2.0
32,33,656,Denise,Stone,1947-06-11,M,F,20000.0,4.0,0.0,High School,Skilled Manual,1.0,2.0
33,34,512,Jaime,Nath,1947-09-23,M,M,20000.0,4.0,0.0,High School,Skilled Manual,1.0,2.0
34,35,669,Ebony,Gonzalez,1947-06-19,M,F,20000.0,4.0,0.0,High School,Skilled Manual,1.0,2.0
35,36,471,Wendy,Dominguez,1948-02-24,M,F,10000.0,2.0,1.0,Partial High School,Clerical,1.0,2.0
36,37,516,Jennifer,Russell,1978-12-18,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
37,38,467,Chloe,Garcia,1977-11-27,S,F,40000.0,0.0,0.0,Partial High School,Clerical,0.0,2.0
38,39,648,Diana,Hernandez,1948-03-23,M,F,10000.0,2.0,1.0,Partial High School,Clerical,1.0,2.0
39,40,706,Marc,Martin,1948-12-17,M,M,30000.0,3.0,0.0,Partial College,Clerical,1.0,2.0
40,41,559,Jesse,Murphy,1977-08-01,M,M,30000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
41,42,633,Amanda,Carter,1977-10-16,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
42,43,653,Megan,Sanchez,1977-06-13,M,F,70000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
43,44,633,Nathan,Simmons,1976-02-24,M,M,60000.0,0.0,0.0,Partial College,Skilled Manual,1.0,2.0
44,45,492,Adam,Flores,1949-05-24,M,M,20000.0,2.0,1.0,Partial High School,Clerical,1.0,2.0
45,46,509,Leonard,Nara,1950-05-19,S,M,30000.0,3.0,0.0,High School,Skilled Manual,0.0,2.0
46,47,648,Christine,Yuan,1950-03-22,M,F,30000.0,3.0,0.0,High School,Skilled Manual,1.0,2.0
47,48,632,Jaclyn,Lu,1950-02-27,M,F,30000.0,3.0,0.0,High School,Skilled Manual,0.0,2.0
48,49,699,Jeremy,Powell,1950-11-22,M,M,30000.0,3.0,0.0,High School,Skilled Manual,1.0,2.0
49,50,610,Carol,Rai,1980-07-18,S,F,40000.0,0.0,0.0,Partial High School,Clerical,1.0,2.0
50,51,493,Alan,Zheng,1951-09-07,M,M,30000.0,3.0,0.0,High School,Skilled Manual,1.0,2.0
51,52,599,Daniel,Johnson,1951-08-04,S,M,30000.0,3.0,0.0,High School,Skilled Manual,0.0,2.0
52,53,509,Heidi,Lopez,1951-08-07,S,F,40000.0,2.0,0.0,Partial College,Clerical,0.0,2.0
53,54,688,Ana,Price,1980-08-20,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,0.0,2.0
54,55,632,Deanna,Munoz,1952-03-10,M,F,40000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
55,56,478,Gilbert,Raje,1952-03-05,M,M,40000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
56,57,518,Michele,Nath,1953-04-03,M,F,40000.0,3.0,0.0,Partial College,Skilled Manual,1.0,2.0
57,58,646,Carl,Andersen,1953-10-12,M,M,70000.0,2.0,0.0,Graduate Degree,Management,1.0,2.0
58,59,628,Marc,Diaz,1954-04-27,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
59,60,561,Ashlee,Andersen,1954-04-01,S,F,80000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
60,61,568,Jon,Zhou,1954-03-17,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
61,62,487,Todd,Gao,1954-02-27,M,M,80000.0,2.0,0.0,Partial College,Skilled Manual,1.0,2.0
62,63,536,Noah,Powell,1975-09-02,M,M,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
63,64,677,Angela,Murphy,1975-04-07,S,F,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
64,65,475,Chase,Reed,1975-12-07,M,M,40000.0,0.0,0.0,High School,Skilled Manual,1.0,2.0
65,66,643,Jessica,Henderson,1973-10-09,M,F,60000.0,0.0,0.0,Partial College,Skilled Manual,0.0,2.0
66,67,500,Grace,Butler,1973-11-27,M,F,70000.0,0.0,0.0,Partial College,Professional,1.0,2.0
67,68,535,Caleb,Carter,1976-09-25,S,M,60000.0,0.0,0.0,Partial College,Professional,1.0,2.0
68,69,568,Tiffany,Liang,1955-09-23,S,F,80000.0,2.0,0.0,High School,Skilled Manual,1.0,2.0
